CUST_ID,DTH_INIT_SOL_ID,TRAN_DATE,Post Customer,PART_TRAN_TYPE,TRAN_SUB_TYPE,BU_CODE,BU_NAME,GROUP_CODE,GROUP_NAME,TEAM_CODE,TEAM_NAME,DESK_CODE,DESK_NAME,RM_CODE,RM_NAME,Post TRAN_AMT_VAL,Post TRAN_AMT
160450435,160,11/30/2022 0:00,160450435,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160402430,160,11/15/2022 0:00,160402430,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160417547,160,12/29/2022 0:00,160417547,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160416279,160,1/19/2023 0:00,160416279,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160416279,297,1/20/2023 0:00,160416279,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160421834,160,11/2/2022 0:00,160421834,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160002266,130,12/15/2022 0:00,160002266,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160419624,160,1/13/2023 0:00,160419624,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160403908,160,1/3/2023 0:00,160403908,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160006529,160,11/25/2022 0:00,160006529,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160000323,160,11/8/2022 0:00,160000323,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160000323,160,12/21/2022 0:00,160000323,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160006902,160,11/9/2022 0:00,160006902,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160408128,160,11/11/2022 0:00,160408128,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160410302,541,1/3/2023 0:00,160410302,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
160406941,160,11/15/2022 0:00,160406941,CREDIT,NR,6,NORTH REGION,605,NRG-NORTH EAST,60502,NRG-RBN - MAIDUGURI,16075,NRG - GASHUA,23977,"UMAR, Mr. ILIYASU YAKUBU",5000000,"?5,000,000.00"
